land_id,owner_id
1,3
2,5
3,5
4,2
5,1
6,1
7,6
8,3
9,4
10,2
11,1
12,5
13,2
14,2
15,2
16,4
17,6
18,5
19,6
20,4
21,6
22,2
23,2
24,5
25,4
26,6
27,5
28,2
29,3
30,2
31,6
32,5
33,4
34,1
35,4
36,5
37,3
38,4
39,6
40,5
41,2
42,2
43,1
44,6
45,5
46,5
47,4
48,1
49,1
50,2
51,1
52,1
53,5
54,1
55,5
56,5
57,4
58,6
59,3
60,5
61,2
62,5
63,5
64,3
65,1
66,3
67,6
68,1
69,2
70,4
71,3
72,2
73,6
74,3
75,4
76,3
77,5
78,5
79,1
80,2
81,4
82,6
83,4
84,4
85,6
86,2
87,6
88,4
89,4
90,1
91,6
92,1
93,2
94,4
95,3
96,5
97,3
98,1
99,6
100,5
101,1
102,5
103,5
104,3
105,6
106,6
107,4
108,3
109,4
110,3
111,5
112,4
113,1
114,1
115,2
116,3
117,3
118,1
119,4
120,5
121,1
122,1
123,4
124,6
125,2
126,1
127,2
128,6
129,2
130,6
131,5
132,1
133,4
134,3
135,4
136,5
137,5
138,4
139,5
140,3
141,5
142,4
143,1
144,4
145,2
146,6
147,1
148,2
149,5
150,4
151,2
152,4
153,5
154,3
155,6
156,4
157,5
158,5
159,2
160,2
161,4
162,4
163,2
164,1
165,2
166,4
167,5
168,4
169,2
170,1
171,6
172,3
173,4
174,1
175,4
176,2
177,4
178,5
179,5
180,2
181,3
182,1
183,3
184,3
185,2
186,2
187,2
188,5
189,1
190,2
191,5
192,6
193,5
194,2
195,2
196,2
197,6
198,1
199,6
200,1
201,5
202,3
203,3
204,4
205,5
206,1
207,4
208,5
209,6
210,2
211,4
212,3
213,2
214,6
215,4
216,5
217,4
218,3
219,4
220,4
221,5
222,5
223,1
224,5
225,4
226,2
227,6
228,2
229,4
230,3
231,4
232,1
233,2
234,4
235,6
236,2
237,4
238,4
239,6
240,6
241,2
242,3
243,3
244,5
245,6
246,1
247,5
248,2
249,2
250,4
251,4
252,4
253,6
254,4
255,5
256,5
257,5
258,3
259,1
260,3
261,2
262,5
263,2
264,1
265,4
266,3
267,6
268,1
269,2
270,3
271,1
272,5
273,5
274,4
275,5
276,6
277,4
278,6
279,1
280,2
281,1
282,5
283,5
284,3
285,6
286,3
287,6
288,3
289,3
290,6
291,3
292,1
293,6
294,5
295,5
296,1
297,3
298,2
299,6
300,4
301,5
302,3
303,3
304,5
305,6
306,4
307,1
308,4
309,2
310,1
311,6
312,5
313,3
314,6
315,6
316,3
317,3
318,5
319,5
320,2
321,3
322,1
323,1
324,4
325,1
326,6
327,3
328,5
329,5
330,4
331,1
332,2
333,1
334,1
335,5
336,1
337,2
338,3
339,1
340,4
341,1
342,1
343,4
344,5
345,1
346,1
347,1
348,3
349,5
350,1
351,1
352,3
353,4
354,2
355,5
356,6
357,1
358,5
359,2
360,6
361,6
362,3
363,1
364,1
365,2
366,1
367,1
368,5
369,5
370,3
371,2
372,5
373,2
374,5
375,6
376,2
377,3
378,6
379,2
380,1
381,4
382,4
383,3
384,5
385,1
386,6
387,5
388,3
389,6
390,6
391,2
392,1
393,4
394,3
395,3
396,2
397,4
398,6
399,6
400,1
401,2
402,5
403,6
404,4
405,1
406,6
407,2
408,4
409,2
410,5
411,3
412,6
413,4
414,6
415,2
416,4
417,6
418,2
419,1
420,6
421,2
422,6
423,4
424,2
425,4
426,2
427,6
428,6
429,4
430,6
431,1
432,3
433,3
434,6
435,1
436,1
437,2
438,4
439,3
440,1
441,1
442,6
443,1
444,6
445,5
446,6
447,6
448,3
449,2
450,2
451,6
452,1
453,6
454,6
455,4
456,1
457,5
458,5
459,3
460,1
461,1
462,5
463,1
464,4
465,6
466,4
467,5
468,2
469,5
470,5
471,5
472,6
473,1
474,4
475,4
476,5
477,5
478,4
479,3
480,3
481,4
482,5
483,5
484,3
485,4
486,4
487,1
488,6
489,1
490,3
491,2
492,2
493,1
494,6
495,1
496,2
497,4
498,3
499,5
500,6
501,4
502,3
503,5
504,3
505,6
506,1
507,2
508,1
509,6
510,3
511,4
512,1
513,5
514,6
515,2
516,1
517,6
518,5
519,5
520,2
521,3
522,6
523,2
524,3
525,3
526,2
527,1
528,1
529,4
530,5
531,2
532,5
533,6
534,1
535,5
536,2
537,1
538,3
539,2
540,4
541,5
542,2
543,4
544,1
545,6
546,5
547,3
548,1
549,5
550,4
551,1
552,6
553,2
554,1
555,3
556,2
557,1
558,4
559,4
560,3
561,1
562,4
563,5
564,1
565,2
566,3
567,2
568,1
569,2
570,6
571,5
572,2
573,4
574,6
575,5
576,5
577,4
578,3
579,3
580,1
581,1
582,1
583,1
584,6
585,1
586,4
587,6
588,3
589,2
590,4
591,5
592,1
593,5
594,4
595,4
596,2
597,1
598,6
599,2
600,2
601,1
602,1
603,2
604,6
605,3
606,3
607,4
608,1
609,6
610,5
611,6
612,3
613,4
614,5
615,6
616,1
617,5
618,3
619,1
620,5
621,5
622,4
623,3
624,2
625,1
626,2
627,5
628,1
629,2
630,1
631,6
632,2
633,1
634,3
635,6
636,1
637,4
638,5
